objectId,field_X,name_X,cat_X,F_X,ra_MIL,dec_MIL,RA_MIL,DEC_MIL,NAME_MIL,TYPE_MIL,RMAG_MIL,BMAG_MIL,COMMENT_MIL,R_MIL,B_MIL,Z_MIL,CITE_MIL,ZCITE_MIL,XNAME_MIL,RNAME_MIL,LOBE1_MIL,LOBE2_MIL,_dist_arcsec,otype_consolidated,F_opt,g_psfMag,i_psfMag,r_psfMag,u_psfMag,y_psfMag,z_psfMag,g_psfFlux,g_psfFluxErr,i_psfFlux,i_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,y_psfFlux,y_psfFluxErr,z_psfFlux,z_psfFluxErr,refExtendedness,near_bright_flag
648365376786151216,SV_38_7,2SXPS J023213.2+064951,2SXPS,1.635e-12,38.0543824683928,6.8308913384457135,38.0543792,6.8308813,LAMOSTJ023213.05+064951.2,AX  ,15.76,16.7,p+G,1,1,0.071,LAMQ5 ,LAMQ5 ,LSXPS J023213.2+064950,                      ,1RXH J023212.9+064949 ,                      ,0.0020094245810096,AGN,1.0407288426876294e-12,18.384773,17.380474,17.90278,,,17.177727,160727.83,124.761314,405331.28,173.13947,250546.16,141.0726,,,,,488550.56,472.25717,1.0,False
648373416964926510,SV_38_7,2SXPS J023329.9+065527,2SXPS,2.717e-12,38.37494937351511,6.923995716280879,38.3749408,6.9239785,TXS 0230+067             ,BRX ,18.29,20.55,pG ,1,1,0.2,4FGL4 ,MQ    ,LSXPS J023329.9+065527,VLAJ023329.98+065526.4,FIRST J023330.0+065525,RACD J023330.0+065526 ,0.0001102516145183,BL Lac,4.599790610153378e-13,19.438305,18.275126,18.722242,,,17.946432,60908.473,93.66981,177807.31,134.80391,117788.5,115.84267,,,,,240672.75,446.9731,1.0,False
648373416964927234,SV_38_7,2SXPS J023340.9+065611,2SXPS,4.073e-12,38.42081798037587,6.936405160985218,38.4208148,6.9364125,3HSPJ023341.0+065611     ,BRX ,18.76,19.4,pG ,-,-,0.3,3HSP  ,3HSP  ,LSXPS J023341.0+065610,VLAJ023340.99+065610.8,FIRST J023341.0+065610,RACS J023341.0+065611 ,7.998059274294521e-05,BL Lac,3.3224791620739587e-13,19.429714,18.802149,19.082085,,,18.562296,61392.406,79.78122,109430.98,106.705345,84560.2,104.98576,,,,,136484.08,317.65253,1.0,False
648373416964925561,SV_38_7,2SXPS J023343.4+065340,2SXPS,1.104e-13,38.43167073698186,6.894507056337516,38.4316742,6.894509,LAMOSTJ023343.60+065340.2,QX  ,19.04,19.49,pG ,-,-,0.771,LAMQ5 ,LAMQ5 ,LSXPS J023343.4+065339,                      ,                      ,                      ,3.117568107992653e-05,QSO,2.6931195653640806e-13,19.394295,19.295624,19.296581,,,19.08041,63428.176,90.44924,69462.45,98.98091,69401.31,97.94565,,,,,84690.79,295.62448,1.0,False
648373416964925356,SV_38_7,2SXPS J023322.3+065329,2SXPS,4.516e-14,38.34366043445336,6.891020169370877,38.34366,6.891024,SDSS J023322.48+065327.6 ,X   ,18.87,19.47,pG ,-,-,0.1,NBCKv3,NBCKv3,LSXPS J023322.3+065328,                      ,                      ,                      ,0.000199898447938,X-ray Obj,3.5645373909092943e-13,19.519901,18.61483,18.97221,,,18.406788,56498.87,93.10077,130037.2,141.85915,93565.61,132.33223,,,,,157501.56,313.1989,0.0,False
579576081061780324,47Tuc,4XMM J002039.7-722733,4XMMDR14,2.3607147053156252e-14,5.164770296757172,-72.4591623811368,5.1647822,-72.4591612,Gaia 4689594010760660608 ,X   ,19.41,19.46,jG ,-,-,1.86,GAIA3 ,GAIA3 ,4XMM J002039.7-722733 ,                      ,                      ,                      ,0.000557865050805,X-ray Obj,3.177991110882497e-13,19.142492,18.862776,19.086544,,18.885052,,79984.01,298.5296,103488.01,165.30223,84213.62,95.86182,,,101386.27,1393.6588,,,0.0,False
579578211365557231,47Tuc,1eRASS J001807.3-715558,eRASS1,1.2010782180025414e-13,4.527258594856703,-71.93171213320856,4.5272545,-71.9317135,VMC J001806.53-715554.2  ,Q   ,18.91,19.01,jG ,1,-,0.62,VMC   ,VMC   ,                      ,                      ,                      ,                      ,0.0007551744710881,QSO,2.946589408090439e-13,19.082685,18.941305,19.156263,,,,84513.5,212.03113,96267.055,223.93617,78975.92,291.42206,,,,,,,1.0,False
592913913020955310,EDFS,2SXPS J035620.5-484629,2SXPS,3.095e-13,59.085095226936325,-48.77487754876909,59.0853889,-48.77475,J035620.49-484629.1      ,X   ,20.54,20.91,j  ,-,-,,MQ    ,      ,LSXPS J035620.5-484629,                      ,                      ,                      ,0.0009046726595932,X-ray Obj,4.471195988159338e-14,21.676338,21.29177,21.643007,21.742443,21.221779,21.044504,7752.912,21.036005,11048.211,44.06615,7994.606,21.063725,7294.962,243.70781,11783.892,272.90158,13873.89,78.15077,1.0,False
592913294545670260,EDFS,1eRASS J035532.6-485132,eRASS1,2.127504173266709e-13,58.88645214558301,-48.85960550990583,58.8864605,-48.8595994,3HSPJ035532.7-485134     ,B2  ,18.6,20.82,jG ,1,1,0.5,3HSP  ,3HSP  ,                      ,                      ,RACD J035534.0-485151 ,RACD J035530.1-485107 ,0.0005915614274864,BL Lac,1.706748810507263e-13,21.278278,19.438068,19.892042,21.859222,18.958101,18.97655,11186.363,21.50027,60921.82,53.45739,40103.55,28.340042,6551.054,240.24599,94789.27,276.0328,93192.305,88.52716,1.0,False
592915905885782598,EDFS,1eRASS J035721.8-481215,eRASS1,4.632322628782275e-13,59.34132583392492,-48.2042108357329,59.3413261,-48.2042108,PKS 0355-483             ,QR  ,16.17,16.46,jG ,-,-,1.016,1976  ,1612  ,                      ,RACS J035721.8-481215 ,SUMSS J035721.8-481214,                      ,0.001511081632057,QSO,3.856399998640883e-12,16.580381,16.458557,16.418182,,16.262669,16.364103,846929.25,803.4701,947496.2,594.01086,983392.44,905.99457,,,1134834.0,1402.6483,1033613.94,1197.3087,0.0,False
609788117972422752,ECDFS,4XMM J033340.9-284014,4XMMDR14,2.3128193967197203e-14,53.421186354259866,-28.67085741067597,53.421165,-28.670874,WCDFS J033341.09-284015.1,ARX ,22.59,24.64,d  ,-,-,0.943,RLAGN ,RLAGN ,4XMM J033340.9-284014 ,VLAJ033341.08-284014.4,RACS J033341.0-284017 ,                      ,0.0023105371159359,AGN,5.044175735178286e-15,,,,,,21.319683,,,,,,,,,,,10767.802,400.41327,1.0,False
609788049252947741,ECDFS,4XMM J033406.9-283450,4XMMDR14,7.572852663961099e-14,53.52881963243722,-28.580871198039244,53.528824,-28.5808824,WISEA J033406.94-283451.4,X   ,20.65,20.59,jG ,-,-,0.6,WISEA ,MQ    ,4XMM J033406.9-283450 ,                      ,LSXPS J033406.4-283449,                      ,0.0003424248138686,X-ray Obj,1.0611324282694222e-13,20.460478,20.21373,20.511621,,20.01503,20.246138,23757.955,170.76328,29820.049,153.51204,22664.756,93.01966,,,35808.66,989.04364,28943.082,290.7762,1.0,False
611253423374860326,ECDFS,4XMM J033522.5-281425,4XMMDR14,3.8044779593392544e-14,53.84420370780718,-28.240337522632423,53.8442029,-28.2403783,J033522.60-281425.3      ,X   ,20.58,20.6,jG ,-,-,1.1,MQ    ,MQ    ,4XMM J033522.5-281425 ,                      ,                      ,                      ,0.0375176191319215,X-ray Obj,3.2510149438595036e-14,21.606184,,21.163015,21.991041,,,8270.397,135.1236,,,12439.237,162.47868,5802.0806,351.5608,,,,,1.0,False
609788667728241676,ECDFS,4XMM J033454.1-282833,4XMMDR14,2.4594802716247817e-14,53.72568834516109,-28.476176924358427,53.725711,-28.4761927,SVA1_COADD-2939916133    ,QX  ,20.06,20.01,jG ,-,-,1.536,OzDES2,OzDES2,4XMM J033454.1-282833 ,                      ,                      ,                      ,0.0010588458952378,QSO,2.960698555561676e-14,20.840132,,,,,,16747.385,100.18784,,,,,,,,,,,1.0,False
609788049252950539,ECDFS,4XMM J033355.0-283820,4XMMDR14,1.545032141505101e-14,53.47930416063156,-28.638793832418624,53.4793362,-28.6388434,WCDFS J033355.03-283819.7,AX  ,21.95,23.45,dN ,-,-,0.596,RLAGN ,RLAGN ,4XMM J033355.0-283820 ,                      ,                      ,                      ,0.0559341064346176,AGN,5.796521840288931e-15,,,,,,21.16874,,,,,,,,,,,12373.835,488.63016,1.0,False
609787499497127989,ECDFS,4XMM J033237.4-284320,4XMMDR14,2.0393512521602912e-14,53.15599424086228,-28.722571698142023,53.1559974,-28.7225749,SVA1_COADD-2940669407    ,QX  ,19.7,20.82,pG ,1,1,1.307,OzDES2,OzDES2,4XMM J033237.4-284320 ,                      ,                      ,                      ,0.0082589808381467,QSO,1.7342501174971024e-14,,20.366924,,,,,,,25895.84,269.2445,,,,,,,,,0.0,False
609787568216610164,ECDFS,4XMM J033216.3-284359,4XMMDR14,2.2899159646391432e-14,53.068262616496,-28.732991985367235,53.0682629,-28.7329776,OzDES-DR2_02532          ,QX  ,21.07,21.22,gG ,n,n,0.911,OzDES2,OzDES2,4XMM J033216.3-284359 ,                      ,                      ,                      ,0.0365441112212386,QSO,2.0929789723331838e-14,21.216705,,,,,,11839.072,147.07857,,,,,,,,,,,0.0,False
609787568216605846,ECDFS,4XMM J033211.4-284323,4XMMDR14,2.3790739750407727e-14,53.04761629455481,-28.723355250582465,53.04758,-28.72333,SVA1_COADD-2940669226    ,QX  ,21.45,21.89,g  ,n,n,1.236,OzDES2,OzDES2,4XMM J033211.4-284323 ,                      ,                      ,                      ,0.0011526314062164,QSO,5.579480053113795e-15,22.652134,,,,,,3156.0693,73.896774,,,,,,,,,,,0.0,False
609788117972430728,ECDFS,2CXO J033326.6-283409,CSC2.1,6.849e-14,53.361175652816186,-28.569402529345616,53.3610834,-28.5694167,TGS323Z084               ,NX  ,18.25,20.2,p  ,1,1,0.149,2dF   ,RLAGN ,4XMM J033326.6-283409 ,                      ,LSXPS J033326.3-283410,                      ,0.0007221640347364,AGN,3.1502175648729497e-13,20.148499,18.788662,19.279427,21.607908,18.234705,18.507826,31666.516,41.689533,110798.75,107.27849,70506.51,68.1982,8257.272,226.58665,184551.72,787.886,143505.75,188.47153,1.0,False
609788186691912772,ECDFS,4XMM J033259.6-283456,4XMMDR14,2.220915474909681e-14,53.24847609513736,-28.582235341833435,53.24848,-28.5822409,SWIRE3J033259.61-283456.0,QX  ,19.98,20.81,jG ,-,-,0.97,ATLAS ,ATLAS ,4XMM J033259.6-283456 ,                      ,                      ,                      ,0.0012901285844886,QSO,1.2789986607926646e-13,20.445726,20.287655,20.289082,20.737791,20.05273,20.159891,24082.955,32.711742,27857.217,59.85996,27820.666,47.515396,18402.783,477.89093,34586.566,596.4469,31335.994,109.81079,1.0,False
609787430777651442,ECDFS,4XMM J033322.6-284155,4XMMDR14,1.7013485143825037e-14,53.34444086215634,-28.698685635022784,53.34442,-28.69867,SVA1_COADD-2940673043    ,QX  ,21.23,21.68,j  ,-,-,2.354,OzDES2,OzDES2,4XMM J033322.6-284155 ,                      ,                      ,                      ,0.0046414446905842,QSO,3.8011119590977994e-14,21.612165,20.89594,21.15509,,,,8224.963,180.47672,15908.285,334.02252,12530.37,244.46312,,,,,,,1.0,False
609788186691909175,ECDFS,4XMM J033254.0-283809,4XMMDR14,2.6873338285020843e-14,53.225482468303845,-28.6359947113236,53.225487,-28.63599,WCDFS J033254.12-283809.6,QX  ,22.52,23.59,D  ,n,1,1.19,RLAGN ,RLAGN ,4XMM J033254.0-283809 ,                      ,                      ,                      ,0.0147170411435034,QSO,8.720932381033666e-15,24.956846,22.673277,28.98454,,21.018417,21.86481,377.7997,34.832783,3095.2043,77.46846,9.250893,74.65237,-21.94662,403.6378,14211.271,1506.5247,6517.4146,133.29553,1.0,False
609788186691916398,ECDFS,4XMM J033253.8-283140,4XMMDR14,3.340198872158438e-14,53.22446384946672,-28.527612791922472,53.2244606,-28.5276096,SVA1_COADD-2940698117    ,QX  ,20.13,20.95,jG ,-,-,1.508,OzDES2,OzDES2,4XMM J033253.8-283140 ,                      ,                      ,                      ,0.0004088178678757,QSO,9.892322154387754e-14,20.997965,20.18311,20.520329,21.513092,20.114151,20.136074,14481.517,19.990543,30673.008,42.462845,22483.74,26.36013,9010.796,126.73012,32684.303,461.6284,32030.975,78.569984,0.0,False
