name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId
2CXO J002407.1-720545,6.029833333333333,-72.09606111111111,0.29,47Tuc,CSC2.1,2.369e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002416.9-720427,6.070791666666667,-72.07422222222222,0.29,47Tuc,CSC2.1,3.697e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002406.4-720443,6.026625000000001,-72.07864444444444,0.29,47Tuc,CSC2.1,7.873e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002406.0-720456,6.024958333333334,-72.08230833333333,0.29,47Tuc,CSC2.1,3.061e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002403.5-720452,6.014333333333333,-72.08116944444444,0.29,47Tuc,CSC2.1,4.469e-13,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002403.4-720505,6.0145,-72.08481666666667,0.29,47Tuc,CSC2.1,4.498e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002404.9-720451,6.020708333333333,-72.08094444444444,0.29,47Tuc,CSC2.1,1.575e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002407.8-720441,6.032541666666667,-72.07822777777777,0.29,47Tuc,CSC2.1,1.769e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002402.1-720542,6.008875,-72.09504444444444,0.29,47Tuc,CSC2.1,7.882e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002404.2-720457,6.017583333333334,-72.08283888888889,0.29,47Tuc,CSC2.1,5.663e-13,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002402.8-720449,6.011750000000001,-72.08032222222222,0.29,47Tuc,CSC2.1,2.595e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002400.9-720453,6.003958333333334,-72.08148333333332,0.29,47Tuc,CSC2.1,2.542e-13,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002415.9-720436,6.06625,-72.07680555555555,0.29,47Tuc,CSC2.1,4.347e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002410.7-720425,6.044875,-72.07382222222222,0.29,47Tuc,CSC2.1,2.716e-14,0.1479591836734693,0.29,453,52,True,False,False,
2CXO J002406.8-720512,6.028625000000001,-72.08680555555556,0.3,47Tuc,CSC2.1,2.603e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002413.8-720302,6.057500000000001,-72.05062222222222,0.3,47Tuc,CSC2.1,7.536e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002415.1-720443,6.06325,-72.07877222222221,0.3,47Tuc,CSC2.1,2.566e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002408.3-720431,6.034625000000001,-72.07542777777778,0.3,47Tuc,CSC2.1,1.244e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002407.9-720454,6.033125,-72.08190833333333,0.3,47Tuc,CSC2.1,5.812e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002411.1-720620,6.046375,-72.10558611111111,0.3,47Tuc,CSC2.1,7.741e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002404.6-720453,6.019458333333334,-72.08161944444444,0.3,47Tuc,CSC2.1,2.469e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002406.0-720449,6.025291666666667,-72.08031388888888,0.3,47Tuc,CSC2.1,8.73e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002404.3-720501,6.018083333333334,-72.08373611111111,0.3,47Tuc,CSC2.1,6.424e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002404.2-720443,6.017666666666667,-72.07876944444445,0.3,47Tuc,CSC2.1,4.376e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002402.5-720511,6.010583333333334,-72.08649444444444,0.3,47Tuc,CSC2.1,1.34e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002402.5-720444,6.010416666666667,-72.07904166666667,0.3,47Tuc,CSC2.1,2.615e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002357.6-720502,5.990374999999999,-72.08392777777777,0.3,47Tuc,CSC2.1,2.447e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002401.3-720445,6.0056666666666665,-72.079375,0.3,47Tuc,CSC2.1,2.091e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002457.0-720651,6.23775,-72.11435833333333,0.3,47Tuc,CSC2.1,9.248e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002408.7-720507,6.0365416666666665,-72.08546388888888,0.3,47Tuc,CSC2.1,1.608e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002410.0-720441,6.0419583333333335,-72.07814166666667,0.3,47Tuc,CSC2.1,2.14e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002407.7-720527,6.032458333333334,-72.090925,0.3,47Tuc,CSC2.1,4.561e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002416.0-720451,6.066666666666666,-72.08101666666666,0.3,47Tuc,CSC2.1,1.216e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002403.8-720621,6.016166666666667,-72.10603055555555,0.3,47Tuc,CSC2.1,9.223e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002403.7-720423,6.015708333333333,-72.07307222222222,0.3,47Tuc,CSC2.1,2.989e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002404.9-720455,6.0205,-72.08210833333332,0.3,47Tuc,CSC2.1,3.097e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002403.7-720459,6.015416666666667,-72.08308888888888,0.3,47Tuc,CSC2.1,6.194e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002413.4-720451,6.056125,-72.08091666666667,0.3,47Tuc,CSC2.1,1.933e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002405.6-720449,6.023541666666668,-72.0803611111111,0.3,47Tuc,CSC2.1,1.272e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002405.3-720421,6.022416666666667,-72.07269166666666,0.3,47Tuc,CSC2.1,4.974e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002419.3-720334,6.080666666666667,-72.05966944444444,0.3,47Tuc,CSC2.1,1.01e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002405.2-720446,6.021750000000001,-72.07968333333334,0.3,47Tuc,CSC2.1,4.148e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002405.1-720435,6.0212916666666665,-72.07647222222222,0.3,47Tuc,CSC2.1,2.738e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002425.8-720703,6.10775,-72.1176611111111,0.3,47Tuc,CSC2.1,4.834e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002407.3-720449,6.030708333333333,-72.08038333333333,0.3,47Tuc,CSC2.1,,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002353.9-720350,5.975,-72.06393333333332,0.3,47Tuc,CSC2.1,1.635e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002353.5-720511,5.973041666666666,-72.08652222222221,0.3,47Tuc,CSC2.1,2.604e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002408.3-720435,6.034541666666667,-72.07663333333333,0.3,47Tuc,CSC2.1,7.855e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002408.4-720500,6.035416666666666,-72.08345,0.3,47Tuc,CSC2.1,1.772e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002403.8-720457,6.015875,-72.08250833333332,0.31,47Tuc,CSC2.1,1.998e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002408.5-720535,6.035833333333334,-72.09310555555555,0.31,47Tuc,CSC2.1,1.23e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002411.0-720444,6.046208333333333,-72.07889722222222,0.31,47Tuc,CSC2.1,1.447e-15,0.1581632653061224,0.31,453,52,True,False,False,
