tract,patch
7611,66
453,64
7849,0
454,89
7610,93
10463,20
5063,12
2394,33
7849,1
5526,46
5526,37
5063,10
7611,97
5064,9
5063,26
4849,96
4017,77
4848,61
5063,34
10463,31
5063,35
5306,84
4848,80
5063,18
10463,10
5525,0
5526,69
4849,89
453,34
4849,88
5063,46
10464,28
10704,22
5062,10
453,14
10463,32
4017,78
4016,85
2394,34
2234,94
5306,97
7850,8
5306,79
2394,4
4017,49
5063,21
4016,70
7610,82
5063,37
454,28
5526,58
7850,39
5306,83
7850,26
7850,6
10464,97
2234,90
2394,56
2234,84
5525,13
10705,7
2234,81
7611,96
10464,98
10463,94
10704,12
5306,87
7611,87
5063,25
10705,18
4016,62
10222,98
454,49
2394,65
7849,30
5525,2
4017,59
10704,15
454,77
7611,85
10463,63
5526,7
4849,94
2394,15
5306,86
4849,85
5063,32
453,35
5063,33
4217,21
4016,60
10463,76
2394,18
5063,31
2394,8
453,12
10463,93
5526,15
10704,23
5526,66
453,84
4016,42
5525,31
5063,22
4218,9
5306,89
5306,93
2234,76
5063,16
2234,97
10704,6
10463,22
2393,20
2234,92
4849,79
10463,21
4017,68
7850,15
4017,89
10463,46
5526,28
7849,20
5526,47
4849,95
10464,58
10704,21
7611,75
7611,65
10463,75
2394,25
7610,80
4848,90
4849,75
7850,37
7850,12
7850,7
10463,56
5306,95
5525,43
4848,83
5063,27
4218,8
2394,28
10463,41
7610,91
7850,17
7850,18
2394,12
4218,27
10464,16
5526,57
5063,36
10464,76
5525,22
7850,28
2394,7
10463,62
2394,32
5526,8
10463,26
7610,62
5063,30
7610,61
10704,13
4848,93
453,41
7610,50
5306,77
10704,1
5306,94
10464,56
10464,75
4016,72
4016,71
5063,38
10464,67
5063,3
10704,17
10464,29
7850,36
453,44
7611,68
2394,2
7611,98
5063,11
10705,9
5526,16
4217,11
7611,77
10464,84
2234,83
2394,3
4849,69
5063,47
5525,41
4218,18
5063,54
453,32
453,55
4848,72
453,45
5526,36
10463,47
2394,24
10705,16
10463,45
7850,2
7611,99
10464,18
7611,86
10463,71
10463,35
10463,30
5063,5
10705,17
10463,55
4218,7
453,33
454,19
5306,75
10464,86
7611,88
4848,92
7850,9
10704,14
453,23
2394,42
5063,14
7850,23
7850,16
4016,91
5063,6
5526,5
2394,9
4218,28
2394,31
5063,41
5526,27
10464,47
10463,92
10464,99
10464,88
2394,37
4849,67
10463,96
10464,55
7850,13
10463,65
453,65
2234,86
453,22
4016,84
5064,29
5063,52
453,75
2394,55
7610,71
10463,61
2394,21
10463,83
7850,4
454,68
5305,70
5526,18
10464,89
4016,92
5305,81
7610,92
7611,78
10463,85
10463,36
5063,24
10705,8
453,30
2234,95
2394,64
2394,48
7850,25
2394,14
5526,48
453,40
10705,28
5064,19
4016,51
5526,38
5525,60
5525,52
7611,59
2394,6
2393,10
2234,91
5063,43
10463,50
2394,46
4016,41
5526,39
5525,42
7850,38
7610,51
10463,42
5305,90
10464,37
10463,81
453,60
10463,66
4849,78
7849,10
453,20
10463,60
2394,36
2234,74
4849,87
4218,29
10464,59
10705,5
453,42
4849,99
2393,0
4016,93
10464,68
5526,6
10464,85
10463,34
5526,29
5525,32
5063,55
454,38
5526,9
5306,99
454,57
10704,34
2394,35
7850,24
5306,96
5525,51
10463,84
453,36
2394,39
5525,61
10463,24
10705,27
2234,75
10463,25
453,61
10463,74
5063,56
5063,15
5525,1
7850,34
453,52
2394,23
2394,54
454,59
7850,27
5306,76
4848,62
5525,20
5063,48
454,79
2394,53
453,71
5064,39
10705,6
10464,57
453,46
454,67
10464,74
7610,81
2394,5
4017,79
2234,96
5525,11
5525,12
10464,46
5526,35
2394,67
4016,83
5063,1
454,58
5063,7
7610,83
10704,11
10464,79
453,11
4016,63
2394,13
4218,6
7850,29
453,21
7611,79
5063,4
10463,23
2394,29
10464,39
10463,80
4218,19
10463,57
4848,91
10464,38
5305,80
10704,0
10704,32
5526,19
5526,59
5063,45
2394,43
5525,3
454,39
5063,2
2394,45
4016,64
4849,77
10704,5
453,51
5306,88
10463,11
5526,17
5063,0
4849,86
2234,73
10464,49
10704,3
4849,98
5526,56
5526,68
5063,20
4218,17
5306,98
10464,36
2234,82
2394,17
453,53
5062,20
10464,78
5063,53
10464,65
4848,82
4016,81
2235,99
5525,40
5063,23
7610,84
5525,33
7611,57
4017,87
5525,50
2394,26
2394,16
5526,34
5526,49
4848,71
10463,95
4017,58
7610,70
5525,23
4218,14
10464,69
10704,27
10464,27
4849,68
454,69
4217,10
4016,61
2393,30
7610,60
4017,99
453,24
10463,44
7850,46
10463,53
2394,44
10463,52
5526,25
10463,90
10222,99
5526,24
7850,35
10463,0
454,29
5525,21
2394,11
4849,76
5063,42
10463,51
7610,63
10464,95
7850,3
5525,10
7611,58
4848,60
453,74
10464,87
454,46
10704,4
454,78
10704,20
10463,54
2394,22
4016,74
10463,37
5062,0
7611,76
7610,72
2394,58
7610,73
4017,67
453,81
453,54
4849,97
4217,12
2394,49
10704,24
7849,11
10463,40
2394,19
2394,47
453,43
10463,1
453,63
2394,27
4017,98
4016,52
10704,2
2394,63
4848,81
5305,91
453,72
2393,40
7611,69
10463,64
4217,2
10463,70
5063,44
10464,26
10704,10
5526,14
454,48
10705,29
4217,0
4016,54
10704,7
10464,96
5063,13
453,80
453,31
4016,73
2394,57
7850,5
453,62
5306,78
7611,95
10221,90
453,13
4218,5
4016,44
10463,67
453,70
10464,66
5526,55
4016,50
2394,59
2394,66
4016,94
5526,67
7611,56
5306,85
4218,16
10704,25
4016,82
4848,70
2234,93
4016,90
10463,73
7610,52
10463,72
5063,17
7850,14
5063,28
10464,77
2234,85
10464,48
7611,67
7610,90
10463,82
4218,4
4218,25
4016,40
7850,47
4016,53
453,73
453,82
10704,35
4017,88
7850,19
10464,94
4016,80
2393,50
10463,12
10464,9
5306,92
453,50
10704,16
454,37
2394,38
454,56
4218,26
454,47
10463,86
4217,1
4017,69
5306,74
7849,21
5525,30
4016,95
10705,19
5063,57
10463,43
5526,26
10464,19
4849,66
5525,24
4017,97
10704,26
2394,52
7611,89
5063,8
4016,75
4217,20
10222,97
10464,8
2394,68
4016,43
10704,33
2234,87
453,83
453,25
5526,45
2234,72
5526,4
4218,15
7611,48
4017,48
454,88
10463,91
453,66
10464,17
10463,33
2393,21
454,27
453,56
4016,65
4848,73
