SRCID,name,ra,dec,e_pos,SC_DET_ML,SC_EP_1_FLUX,SC_EP_1_FLUX_ERR,SC_EP_2_FLUX,SC_EP_2_FLUX_ERR,SC_EP_3_FLUX,SC_EP_3_FLUX_ERR,SC_EP_4_FLUX,SC_EP_4_FLUX_ERR,SC_EP_5_FLUX,SC_EP_5_FLUX_ERR,SC_EP_8_FLUX,SC_EP_8_FLUX_ERR,SC_EP_9_FLUX,SC_EP_9_FLUX_ERR,SC_HR1,SC_HR1_ERR,SC_HR2,SC_HR2_ERR,SC_HR3,SC_HR3_ERR,SC_HR4,SC_HR4_ERR,SC_EXTENT,SC_EXT_ERR,SC_EXT_ML,SC_CHI2PROB,SC_FVAR,SC_FVARERR,SC_VAR_FLAG,SC_SUM_FLAG,SC_EP_8_FMIN,SC_EP_8_FMIN_ERR,SC_EP_8_FMAX,SC_EP_8_FMAX_ERR,MJD_FIRST,MJD_LAST,N_DETECTIONS,CONFUSED,WEBPAGE_URL,field,catalog,flux,cat
208272011010054,4XMM J032844.1-275649,52.183763405738,-27.947022617015,1.3911963,25.95722,1.36597e-16,1.1807482e-16,4.832902e-16,1.9472116e-16,1.5663423e-15,3.5729435e-16,1.391248e-15,6.172582e-16,1.968e-15,2.4136716e-15,5.9392947e-15,2.5413426e-15,3.3755955e-15,6.227847e-16,0.7524179,0.1610954,0.3697709,0.1664016,-0.5311927,0.1792715,-0.4172974,0.4822402,0.0,,-0.8626728,,,,False,0,5.9392947e-15,2.5413426e-15,5.9392947e-15,2.5413426e-15,58539.22053240741,58539.63443287037,1,False,http://xmm-catalog.irap.omp.eu/source/208272011010054/,ECDFS,4XMMDR14,5.9392947e-15,4XMMDR14
208272011010075,4XMM J032844.5-280709,52.185593925594,-28.119255382826,2.5645466,11.0309,1.1913999e-16,1.5101729e-16,1.1854158e-15,3.322847e-16,9.841673e-16,3.786588e-16,1.1622082e-16,3.7468614e-16,1.27126e-14,8.21366e-15,1.5826082e-14,8.26113e-15,3.0509574e-15,7.9574844e-16,0.6815351,0.2166525,-0.034710217,0.2080874,-0.9625441,0.1532218,0.9116769,0.2266209,0.0,,0.5262775,,,,False,0,1.5826082e-14,8.26113e-15,1.5826082e-14,8.26113e-15,58539.22053240741,58539.63443287037,1,False,http://xmm-catalog.irap.omp.eu/source/208272011010075/,ECDFS,4XMMDR14,1.5826082e-14,4XMMDR14
208272011010053,4XMM J032847.8-275400,52.199309756516485,-27.90000477780314,1.2283032,21.11618,1.8274236e-17,6.28904e-17,1.9604396e-17,7.665925e-17,1.6419616e-15,3.284006e-16,3.767349e-15,8.6797504e-16,5.693403e-15,3.8937202e-15,1.3168194e-14,4.0532847e-15,4.1881743e-15,6.4604023e-16,-0.6645366,0.42679098,0.9763134,0.07863632,-0.062387314,0.12586418,0.042936217,0.16634813,0.0,,5.180523,,,,False,1,1.2067853e-14,4.571555e-15,1.7212406e-14,8.764302e-15,58539.22053240741,58686.02230324074,2,False,http://xmm-catalog.irap.omp.eu/source/208272011010053/,ECDFS,4XMMDR14,1.3168194e-14,4XMMDR14
208272004010080,4XMM J032848.7-275739,52.203232682598,-27.960940618597995,1.6544424,23.89452,1.1243587e-15,4.2839774e-16,8.227885e-17,2.5268165e-16,2.2816728e-17,2.3568258e-16,1.4564968e-16,6.679399e-16,1.9988041e-14,1.7735789e-14,2.4684553e-14,1.784299e-14,6.2836656e-17,4.0905373e-16,-0.943214,0.1327284,0.7148874,1.005135,0.1096743,0.8564571,0.9904901,0.1191778,0.0,,-0.8353825,,,,False,0,2.4684553e-14,1.784299e-14,2.4684553e-14,1.784299e-14,58532.135034722225,58532.53157407408,1,False,http://xmm-catalog.irap.omp.eu/source/208272004010080/,ECDFS,4XMMDR14,2.4684553e-14,4XMMDR14
208272011010120,4XMM J032849.0-280716,52.204521135512,-28.121139002083996,1.6491995,8.863154,3.0872564e-16,1.8856654e-16,3.974453e-17,1.3892547e-16,7.9286006e-16,4.0859032e-16,5.0452045e-17,2.8441204e-16,4.8588855e-15,7.509491e-15,6.6111074e-15,7.53526e-15,3.101393e-16,4.1155203e-16,-0.1952567,0.2269523,0.4389918,0.3526735,-0.9495663,0.2302733,0.8955159,0.1943148,0.0,,-0.6324949,,,,False,0,6.6111074e-15,7.53526e-15,6.6111074e-15,7.53526e-15,58539.22053240741,58539.63443287037,1,False,http://xmm-catalog.irap.omp.eu/source/208272011010120/,ECDFS,4XMMDR14,6.6111074e-15,4XMMDR14
208272003010081,4XMM J032849.3-281233,52.20579397284783,-28.20943053138031,0.8549797,98.9166,1.2679104e-15,2.3466751e-16,1.3099883e-15,2.4154577e-16,1.372694e-15,2.897695e-16,1.4276251e-15,6.437666e-16,1.9299632e-16,1.2910057e-15,6.360047e-15,1.5744439e-15,5.04734e-15,6.4441843e-16,-0.07634854,0.11334309,0.018165618,0.12357575,-0.37125748,0.15663841,-0.22336505,0.23546681,0.0,,-0.7345486,,,,False,0,6.2469883e-15,1.5782248e-15,2.9871765e-14,2.2759335e-14,58531.73920138889,58540.08803240741,2,False,http://xmm-catalog.irap.omp.eu/source/208272003010081/,ECDFS,4XMMDR14,6.360047e-15,4XMMDR14
208272003010107,4XMM J032850.1-280940,52.209091228321896,-28.16129250401398,0.7086323,135.6531,1.6566394e-15,2.2389606e-16,1.8872284e-15,2.5162956e-16,2.1199522e-15,3.279049e-16,1.5594221e-15,5.772477e-16,1.2637544e-14,4.901232e-15,2.2124174e-14,5.0039784e-15,7.191866e-15,6.8792035e-16,-0.016484946,0.09149614,-0.016912842,0.0999023,-0.45623553,0.11927294,0.6605034,0.12608232,0.0,,-0.7450647,,,,False,0,1.8950351e-14,5.4386503e-15,1.1284923e-13,5.324028e-14,58531.73920138889,58540.08803240741,3,False,http://xmm-catalog.irap.omp.eu/source/208272003010107/,ECDFS,4XMMDR14,2.2124174e-14,4XMMDR14
208272010010130,4XMM J032850.6-280244,52.210966136481,-28.045812764052,3.1684518,12.75977,3.7956506e-17,1.3380779e-15,1.0946812e-16,2.3584891e-15,2.3959335e-15,3.192643e-15,6.839134e-16,5.0658796e-15,0.0,9.3109155e-14,1.6971091e-14,9.365037e-14,1.757725e-15,4.046831e-15,0.05503305,0.5751339,-0.8050179,0.2431317,0.1371766,0.6955954,-1.0,3.901465,53.9068,6.802972,7.629324,,,,False,0,1.6971091e-14,9.365037e-14,1.6971091e-14,9.365037e-14,58539.68579861111,58540.08803240741,1,False,http://xmm-catalog.irap.omp.eu/source/208272010010130/,ECDFS,4XMMDR14,1.6971091e-14,4XMMDR14
208272011010118,4XMM J032850.6-280349,52.211058950381,-28.063799296148,1.8388971,7.453161,2.80459e-16,1.6405228e-16,2.6121154e-16,1.8287862e-16,4.545846e-16,2.615385e-16,6.771098e-16,5.423441e-16,8.2707426e-16,2.41857e-15,3.555812e-15,2.6129791e-15,1.564919e-15,5.4600326e-16,-0.6305884,0.2792794,0.3053724,0.3646139,-0.1878348,0.3536261,0.6719171,0.3161421,0.0,,-0.4014993,,,,False,0,3.555812e-15,2.6129791e-15,3.555812e-15,2.6129791e-15,58539.22053240741,58539.63443287037,1,False,http://xmm-catalog.irap.omp.eu/source/208272011010118/,ECDFS,4XMMDR14,3.555812e-15,4XMMDR14
208272010010064,4XMM J032853.8-281512,52.224228418479,-28.253494970824995,1.4988517,22.60293,1.172786e-16,1.3489599e-16,7.8119345e-16,2.5759185e-16,1.2937294e-15,3.513111e-16,1.8941326e-16,4.0794115e-16,3.440074e-15,3.0723958e-15,6.438644e-15,3.1702417e-15,3.1212988e-15,6.881676e-16,0.7502471,0.2307395,0.1544865,0.1790496,-0.9417068,0.1368546,0.7617791,0.4534869,0.0,,-0.8173332,,,,False,0,6.438644e-15,3.1702417e-15,6.438644e-15,3.1702417e-15,58539.68579861111,58540.08803240741,1,False,http://xmm-catalog.irap.omp.eu/source/208272010010064/,ECDFS,4XMMDR14,6.438644e-15,4XMMDR14
208272011010090,4XMM J032854.9-280002,52.22899837222901,-28.000748143151004,1.3584187,14.2282,0.0,4.2930204e-17,0.0,7.861221e-17,1.9920341e-16,1.8702793e-16,3.1604e-15,8.0916666e-16,7.92799e-15,3.0717328e-15,1.1167704e-14,3.1883603e-15,1.7862125e-15,4.881255e-16,,,1.0,1.104335,0.7367072,0.2243414,-0.2391761,0.2110084,0.0,,-0.6757736,,,,False,0,1.1167704e-14,3.1883603e-15,1.1167704e-14,3.1883603e-15,58539.22053240741,58539.63443287037,1,False,http://xmm-catalog.irap.omp.eu/source/208272011010090/,ECDFS,4XMMDR14,1.1167704e-14,4XMMDR14
208272010010087,4XMM J032855.1-281125,52.229848177255995,-28.190385435382996,1.6553912,11.80332,3.8525652e-16,1.6734748e-16,3.1817872e-16,1.5951647e-16,4.2059559e-16,2.2114359e-16,5.318829e-16,4.354069e-16,2.0748358e-15,2.2368224e-15,5.349471e-15,2.3817584e-15,2.0474417e-15,5.171351e-16,-0.0016768131,0.2725438,0.064634115,0.2952967,-0.1347079,0.2529619,-0.3039834,0.3391832,0.0,,-0.6231346,,,,False,0,5.349471e-15,2.3817584e-15,5.349471e-15,2.3817584e-15,58539.68579861111,58540.08803240741,1,False,http://xmm-catalog.irap.omp.eu/source/208272010010087/,ECDFS,4XMMDR14,5.349471e-15,4XMMDR14
