name,ra_,dec_,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_avg_b,flux_aper90_avg_lolim_b,flux_aper90_avg_hilim_b,dither_warning_flag,extent_flag,pileup_flag,var_flag,var_inter_hard_flag,man_add_flag,man_inc_flag,man_match_flag,man_pos_flag,man_reg_flag,likelihood,flux_aper90_avg_h,flux_aper90_avg_lolim_h,flux_aper90_avg_hilim_h,flux_aper90_avg_m,flux_aper90_avg_lolim_m,flux_aper90_avg_hilim_m,flux_aper90_avg_s,flux_aper90_avg_lolim_s,flux_aper90_avg_hilim_s,flux_aper90_avg_u,flux_aper90_avg_lolim_u,flux_aper90_avg_hilim_u,flux_aper90_avg_w,flux_aper90_avg_lolim_w,flux_aper90_avg_hilim_w,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,flux_aper90_u,flux_aper90_lolim_u,flux_aper90_hilim_u,flux_aper90_w,flux_aper90_lolim_w,flux_aper90_hilim_w,flux_aper_avg_hilim_w,ra,dec,e_pos,field,catalog,flux,cat
2CXO J033100.7-275128, 03 31 00.47,-27 51 30.69,3.04,3.04,0.0,14.82,                TRUE,FALSE,FALSE,FALSE,1.208e-13,1.069e-13,1.347e-13,         ,         ,         ,6.977e-14,6.120e-14,7.780e-14,         ,         ,8.931e-14,8.039e-14,9.822e-14,6.513e-14,5.416e-14,7.541e-14,8.941e-15,6.465e-14,5.873e-14,7.019e-14,FALSE, TRUE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,548.0484,3.418e-14,2.758e-14,4.079e-14,8.118e-15,7.480e-15,8.715e-15,1.772e-14,1.623e-14,1.912e-14,3.802e-13,2.453e-13,5.089e-13,         ,         ,         ,8.008e-15,9.874e-15,1.831e-14,1.623e-14,2.038e-14,0.000e+00,0.000e+00,1.511e-13,         ,         ,         ,         ,52.751958333333334,-27.858525,3.04,ECDFS,CSC2.1,6.465e-14,CSC2.1
2CXO J033112.4-275539, 03 31 12.70,-27 55 43.55,2.88,2.88,0.0,9.44,                TRUE, TRUE,FALSE,FALSE,1.493e-14,9.739e-15,1.991e-14,         ,         ,         ,2.687e-14,2.253e-14,3.121e-14,         ,         ,2.046e-14,1.521e-14,2.571e-14,1.596e-14,9.629e-15,2.201e-14,3.627e-15,3.101e-14,2.658e-14,3.544e-14, TRUE,FALSE,FALSE,FALSE, TRUE, TRUE,False,FALSE,FALSE, TRUE,149.6043,2.554e-14,2.013e-14,3.065e-14,3.533e-15,3.117e-15,3.948e-15,0.000e+00,0.000e+00,4.851e-16,0.000e+00,0.000e+00,8.355e-15,         ,         ,         ,3.085e-15,4.133e-15,0.000e+00,0.000e+00,5.726e-16,0.000e+00,0.000e+00,1.183e-14,         ,         ,         ,         ,52.80291666666667,-27.92876388888889,2.88,ECDFS,CSC2.1,3.101e-14,CSC2.1
2CXO J033114.2-274708, 03 31 14.26,-27 47 08.13,1.77,1.63,158.1,6.19,                TRUE,FALSE,FALSE,FALSE,5.715e-15,4.115e-15,7.315e-15,         ,         ,         ,6.252e-15,4.689e-15,7.815e-15,         ,         ,6.543e-15,5.316e-15,7.701e-15,2.418e-15,1.235e-15,3.601e-15,1.094e-15,6.973e-15,5.757e-15,8.108e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,87.48393,2.598e-15,1.386e-15,3.753e-15,1.259e-15,1.052e-15,1.467e-15,2.491e-15,2.011e-15,2.971e-15,0.000e+00,0.000e+00,1.326e-15,         ,         ,         ,8.778e-16,1.296e-15,2.614e-15,2.022e-15,3.172e-15,0.000e+00,0.000e+00,2.460e-15,         ,         ,         ,         ,52.80941666666667,-27.78559166666667,1.77,ECDFS,CSC2.1,6.973e-15,CSC2.1
2CXO J033114.6-280145, 03 31 14.66,-28 01 45.78,2.27,1.61,65.9,5.43,                TRUE,FALSE,FALSE,FALSE,3.964e-15,2.934e-15,4.993e-15,         ,         ,         ,3.964e-15,2.934e-15,4.993e-15,         ,         ,3.591e-15,2.693e-15,4.488e-15,3.366e-15,2.280e-15,4.397e-15,8.273e-16,3.591e-15,2.693e-15,4.488e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,50.94386,3.366e-15,2.280e-15,4.397e-15,8.273e-16,6.398e-16,1.004e-15,0.000e+00,0.000e+00,2.109e-17,0.000e+00,0.000e+00,3.470e-15,         ,         ,         ,6.398e-16,1.004e-15,0.000e+00,0.000e+00,2.109e-17,0.000e+00,0.000e+00,3.470e-15,         ,         ,         ,         ,52.811083333333336,-28.02938333333333,2.27,ECDFS,CSC2.1,3.591e-15,CSC2.1
2CXO J033114.9-280027, 03 31 14.98,-28 00 27.99,1.31,0.8,19.4,7.04,                TRUE,FALSE,FALSE,FALSE,4.772e-15,3.653e-15,5.891e-15,         ,         ,         ,4.976e-15,3.837e-15,6.116e-15,         ,         ,5.336e-15,4.466e-15,6.207e-15,2.866e-15,1.970e-15,3.717e-15,1.009e-15,5.478e-15,4.598e-15,6.357e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,132.4825,2.919e-15,2.000e-15,3.784e-15,1.038e-15,8.371e-16,1.227e-15,8.199e-16,5.247e-16,1.099e-15,0.000e+00,0.000e+00,1.508e-15,         ,         ,         ,8.076e-16,1.211e-15,7.470e-16,4.669e-16,1.012e-15,0.000e+00,0.000e+00,1.207e-15,         ,         ,         ,         ,52.81241666666667,-28.007775,1.31,ECDFS,CSC2.1,5.478e-15,CSC2.1
2CXO J033115.0-275518, 03 31 15.04,-27 55 18.76,0.43,0.36,38.7,28.85,                TRUE,FALSE,FALSE,FALSE,5.241e-14,5.001e-14,5.481e-14,         ,         ,         ,5.219e-14,5.022e-14,5.404e-14,         ,         ,5.361e-14,5.118e-14,5.604e-14,2.946e-14,2.697e-14,3.195e-14,9.990e-15,5.307e-14,5.109e-14,5.494e-14,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,3495.476,2.910e-14,2.715e-14,3.105e-14,1.083e-14,1.020e-14,1.142e-14,1.446e-14,1.350e-14,1.535e-14,0.000e+00,0.000e+00,6.156e-15,         ,         ,         ,9.259e-15,1.072e-14,1.537e-14,1.420e-14,1.654e-14,0.000e+00,0.000e+00,7.197e-15,         ,         ,         ,         ,52.812666666666665,-27.92187777777778,0.43,ECDFS,CSC2.1,5.307e-14,CSC2.1
2CXO J033116.4-274940, 03 31 16.48,-27 49 40.09,2.3,2.3,0.0,4.59,                TRUE,FALSE,FALSE,FALSE,2.136e-15,6.713e-16,3.601e-15,         ,         ,         ,2.986e-15,1.688e-15,4.285e-15,         ,         ,4.254e-15,2.668e-15,5.841e-15,3.358e-15,1.633e-15,4.991e-15,1.109e-15,3.552e-15,2.408e-15,4.696e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,48.67646,3.023e-15,1.708e-15,4.337e-15,7.078e-16,5.547e-16,8.608e-16,1.309e-16,0.000e+00,4.318e-16,0.000e+00,0.000e+00,2.030e-15,         ,         ,         ,8.213e-16,1.383e-15,0.000e+00,0.000e+00,3.175e-16,0.000e+00,0.000e+00,4.077e-14,         ,         ,         ,         ,52.818666666666665,-27.827802777777777,2.3,ECDFS,CSC2.1,3.552e-15,CSC2.1
2CXO J033117.0-275516, 03 31 17.07,-27 55 16.06,3.98,1.94,48.0,3.29,            MARGINAL,FALSE,FALSE,FALSE,4.024e-15,2.722e-15,5.267e-15,         ,         ,         ,4.024e-15,2.722e-15,5.267e-15,         ,         ,8.087e-16,3.092e-16,1.308e-15,1.340e-15,5.434e-16,2.101e-15,1.551e-16,8.087e-16,3.092e-16,1.308e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,14.62022,1.340e-15,5.434e-16,2.101e-15,1.551e-16,6.580e-17,2.397e-16,4.141e-16,1.956e-16,6.212e-16,0.000e+00,0.000e+00,1.020e-15,         ,         ,         ,6.580e-17,2.397e-16,4.141e-16,1.956e-16,6.212e-16,0.000e+00,0.000e+00,1.020e-15,         ,         ,         ,         ,52.821125,-27.92112777777778,3.98,ECDFS,CSC2.1,8.087e-16,CSC2.1
2CXO J033118.6-273806, 03 31 18.62,-27 38 06.70,2.39,1.59,139.8,4.26,            MARGINAL,FALSE,FALSE,FALSE,2.550e-15,1.655e-15,3.444e-15,         ,         ,         ,2.078e-15,1.215e-15,2.901e-15,         ,         ,1.730e-15,1.012e-15,2.415e-15,1.016e-15,2.735e-16,1.758e-15,2.451e-16,1.529e-15,8.563e-16,2.171e-15,FALSE, TRUE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,18.22242,7.615e-16,9.138e-17,1.401e-15,2.335e-16,1.292e-16,3.328e-16,3.224e-16,1.270e-16,5.178e-16,0.000e+00,0.000e+00,4.191e-16,         ,         ,         ,1.368e-16,3.477e-16,3.377e-16,1.372e-16,5.383e-16,0.000e+00,0.000e+00,5.734e-16,         ,         ,         ,         ,52.82758333333334,-27.635194444444444,2.39,ECDFS,CSC2.1,1.529e-15,CSC2.1
2CXO J033118.7-274122, 03 31 18.70,-27 41 22.19,0.85,0.56,122.6,9.48,                TRUE,FALSE,FALSE,FALSE,5.640e-15,4.844e-15,6.437e-15,         ,         ,         ,5.640e-15,4.844e-15,6.437e-15,         ,         ,5.599e-15,4.854e-15,6.345e-15,2.877e-15,2.043e-15,3.669e-15,9.968e-16,5.599e-15,4.854e-15,6.345e-15,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,173.6276,2.877e-15,2.043e-15,3.669e-15,9.968e-16,8.188e-16,1.175e-15,1.473e-15,1.143e-15,1.783e-15,0.000e+00,0.000e+00,2.941e-16,         ,         ,         ,8.188e-16,1.175e-15,1.473e-15,1.143e-15,1.783e-15,0.000e+00,0.000e+00,2.941e-16,         ,         ,         ,         ,52.82791666666667,-27.689497222222222,0.85,ECDFS,CSC2.1,5.599e-15,CSC2.1
2CXO J033119.4-274250, 03 31 19.40,-27 42 49.98,2.61,1.62,113.6,2.22,            MARGINAL,FALSE,FALSE,FALSE,1.244e-15,4.491e-16,2.038e-15,         ,         ,         ,1.244e-15,4.491e-16,2.038e-15,         ,         ,9.764e-16,4.773e-16,1.454e-15,8.105e-16,2.622e-16,1.335e-15,9.084e-17,9.764e-16,4.773e-16,1.454e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,13.92716,8.105e-16,2.622e-16,1.335e-15,9.084e-17,1.817e-17,1.599e-16,2.622e-16,8.738e-17,4.369e-16,0.000e+00,0.000e+00,6.292e-16,         ,         ,         ,1.817e-17,1.599e-16,2.622e-16,8.738e-17,4.369e-16,0.000e+00,0.000e+00,6.292e-16,         ,         ,         ,         ,52.83083333333334,-27.71388333333333,2.61,ECDFS,CSC2.1,9.764e-16,CSC2.1
2CXO J033119.4-274432, 03 31 19.43,-27 44 32.67,0.95,0.78,136.3,7.75,                TRUE, TRUE,FALSE,FALSE,5.578e-15,4.734e-15,6.422e-15,         ,         ,         ,5.578e-15,4.734e-15,6.422e-15,         ,         ,4.945e-15,4.166e-15,5.672e-15,2.900e-15,2.011e-15,3.742e-15,1.022e-15,4.945e-15,4.166e-15,5.672e-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,False,FALSE,FALSE,FALSE,149.4698,2.900e-15,2.011e-15,3.742e-15,1.022e-15,8.282e-16,1.205e-15,7.896e-16,5.657e-16,1.014e-15,0.000e+00,0.000e+00,1.278e-16,         ,         ,         ,8.282e-16,1.205e-15,7.896e-16,5.657e-16,1.014e-15,0.000e+00,0.000e+00,1.278e-16,         ,         ,         ,         ,52.830958333333335,-27.742408333333334,0.95,ECDFS,CSC2.1,4.945e-15,CSC2.1
2CXO J033119.7-274701, 03 31 19.72,-27 47 00.82,1.38,1.31,112.9,4.27,                TRUE,FALSE,FALSE,FALSE,4.575e-15,2.662e-15,6.406e-15,         ,         ,         ,4.301e-15,2.892e-15,5.710e-15,         ,         ,5.516e-15,4.253e-15,6.712e-15,5.097e-15,3.653e-15,6.456e-15,6.622e-16,4.894e-15,3.915e-15,5.812e-15,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,71.42409,4.137e-15,3.073e-15,5.201e-15,6.020e-16,4.599e-16,7.358e-16,0.000e+00,0.000e+00,1.611e-16,0.000e+00,0.000e+00,5.161e-16,         ,         ,         ,4.455e-16,8.669e-16,0.000e+00,0.000e+00,1.406e-16,0.000e+00,0.000e+00,7.922e-16,         ,         ,         ,         ,52.832166666666666,-27.783561111111112,1.38,ECDFS,CSC2.1,4.894e-15,CSC2.1
2CXO J033119.8-274442, 03 31 19.87,-27 44 42.56,0.93,0.69,109.2,6.28,                TRUE, TRUE,FALSE,FALSE,3.422e-15,2.632e-15,4.167e-15,         ,         ,         ,3.422e-15,2.632e-15,4.167e-15,         ,         ,4.238e-15,3.482e-15,4.945e-15,3.141e-15,2.257e-15,4.024e-15,5.144e-16,4.238e-15,3.482e-15,4.945e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,113.7828,3.141e-15,2.257e-15,4.024e-15,5.144e-16,3.674e-16,6.613e-16,3.588e-16,1.875e-16,5.218e-16,0.000e+00,0.000e+00,2.559e-15,         ,         ,         ,3.674e-16,6.613e-16,3.588e-16,1.875e-16,5.218e-16,0.000e+00,0.000e+00,2.559e-15,         ,         ,         ,         ,52.832791666666665,-27.745155555555556,0.93,ECDFS,CSC2.1,4.238e-15,CSC2.1
2CXO J033119.8-275647, 03 31 19.88,-27 56 47.86,1.15,0.73,22.3,5.18,                TRUE, TRUE,FALSE,FALSE,1.757e-15,1.110e-15,2.404e-15,         ,         ,         ,1.757e-15,1.110e-15,2.404e-15,         ,         ,1.900e-15,1.431e-15,2.344e-15,1.442e-16,0.000e+00,5.914e-16,6.140e-16,1.900e-15,1.431e-15,2.344e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,83.79905,1.442e-16,0.000e+00,5.914e-16,6.140e-16,4.625e-16,7.575e-16,8.412e-16,6.008e-16,1.069e-15,0.000e+00,0.000e+00,2.120e-16,         ,         ,         ,4.625e-16,7.575e-16,8.412e-16,6.008e-16,1.069e-15,0.000e+00,0.000e+00,2.120e-16,         ,         ,         ,         ,52.83283333333333,-27.946627777777778,1.15,ECDFS,CSC2.1,1.9e-15,CSC2.1
2CXO J033120.4-275530, 03 31 20.43,-27 55 30.49,1.31,0.88,27.8,5.03,                TRUE,FALSE,FALSE,FALSE,4.884e-15,3.856e-15,5.913e-15,         ,         ,         ,5.103e-15,4.083e-15,6.124e-15,         ,         ,5.693e-15,4.688e-15,6.697e-15,5.192e-15,4.153e-15,6.230e-15,1.975e-16,5.886e-15,4.835e-15,6.867e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,65.30816,5.309e-15,4.301e-15,6.318e-15,2.560e-16,1.447e-16,3.617e-16,0.000e+00,0.000e+00,1.286e-16,         ,         ,         ,         ,         ,         ,9.876e-17,2.908e-16,0.000e+00,0.000e+00,1.158e-16,0.000e+00,0.000e+00,2.413e-16,         ,         ,         ,         ,52.835125,-27.92513611111111,1.31,ECDFS,CSC2.1,5.886e-15,CSC2.1
