name,obsid,sourcenum,ra,dec,e_pos,lii,bii,hr1,hr1_err,date_obs,date_end,scts_b8,scts_b8_err,scts_b7,scts_b7_err,scts_b6,scts_b6_err,x_ima_b8,y_ima_b8,x_ima_b7,y_ima_b7,x_ima_b6,y_ima_b6,ext_b8,ext_b8_err,ext_b7,ext_b7_err,ext_b6,ext_b6_err,det_ml_b8,det_ml_b7,det_ml_b6,ext_ml_b8,ext_ml_b7,ext_ml_b6,bg_map_b8,bg_map_b7,bg_map_b6,exp_map_b8,exp_map_b7,exp_map_b6,flux_b8,flux_b8_err,flux_b7,flux_b7_err,flux_b6,flux_b6_err,rate_b8,rate_b8_err,rate_b7,rate_b7_err,rate_b6,rate_b6_err,ra_b8,dec_b8,radec_b8_err,lii_b8,bii_b8,ra_b7,dec_b7,radec_b7_err,lii_b7,bii_b7,ra_b6,dec_b6,radec_b6_err,lii_b6,bii_b6,cutrad_b8,cutrad_b7,cutrad_b6,eef_b8,eef_b7,eef_b6,dist_nn_b8,dist_nn_b7,dist_nn_b6,val_flag,srcname_b8,srcname_b7,srcname_b6,ximname_b8,ximname_b7,ximname_b6,ver_inext,ver_halo,ver_hibgnd,ver_nredg,ver_psusp,ver_false,flag_comment,ident,altident,rassname,id_category,id_resource,id_dist,rass_dist,mode_id,image_bg_rate,mjd_start,mjd_stop,ver_optload,filt_cnts,unfilt_cnts,us_xmmsl1,us_extras,field,catalog,flux,cat
XMMSL3 J022859.3+071957,9341500004,23,37.247259,7.332387,2.742821,160.862718,-48.223769,,,2018-08-02T21:28:34,2018-08-02T22:39:39,10.01,3.26,,,7.7,2.81,436.91,788.93,,,436.73,789.18,0.0,0.0,,,0.0,0.0,43.12,,37.11,-999.0,,-999.0,0.000863,,0.000365,7.41,,8.12,4.26465,1.38996,,,1.3642,0.5025999999999999,1.35,0.44,,,0.95,0.35,37.247259,7.332387,2.742821,160.862718,-48.223769,,,,,,37.247473,7.332669,3.194222,160.862751,-48.223416,36.0,,36.0,0.9813,,0.9813,410000.0,,410000.0,CLEAN_SAMPLE,xs3415_9341500004_02:28:59.3+07:19:57   ,,xs3415_9341500004_02:28:59.4+07:19:58   ,P9341500004PNS003IMAGE_8024.ds          ,,P9341500004PNS003IMAGE_6024.ds          ,f,f,f,f,f,f,,RX J0228.9+0720                         ,,J022859.6+072007                        ,RotV*               ,Simbad    ,3.084915,11.574,FF ,2.6,58332.894837962966,58332.94420138889,f,10.0,11.0,,,SV_38_7,XMMSL3,4.264649999999999e-12,XMMSL3
XMMSL3 J001725.3-715036,9272300004,1,4.355829790573,-71.8432232588,3.079998,306.6707736699,-45.03728112459,,,2014-10-22T17:05:31,2014-10-22T17:05:31,8.461853,3.031333,,,6.407928,2.592445,573.3346,509.648,,,572.987,509.2746,0.0,0.0,,,0.0,0.0,32.11916,,27.11267,-999.0,,-999.0,0.0005951779,,0.0001909365,7.251048,,8.043095,3.686499297,1.3206341655,,,1.1440601948,0.4628505147999999,1.166983,0.4180545,,,0.7966993,0.3223193,4.355829790573,-71.8432232588,3.079998,306.6707736699,-45.03728112459,,,,,,4.35710285356,-71.84364780145,3.738583,306.6701102204,-45.03693788434,36.0,,36.0,0.9968801,,0.9968248,0.9459896,,0.9454986,CLEAN_SAMPLE,xs2723_9272300004_00:17:25.3-71:50:36   ,,xs2723_9272300004_00:17:25.7-71:50:37   ,P9272300004PNS003IMAGE_8031.FTZ         ,,P9272300004PNS003IMAGE_6031.FTZ         ,f,f,f,f,f,f,,LEDA 266917                             ,,J001726.8-715030                        ,EmG                 ,Simbad    ,5.357391,3.222,FF ,1.9,56952.712164351855,56952.712164351855,f,8.0,12.0,,419053.0,47Tuc,XMMSL3,3.686499297e-12,XMMSL3
XMMSL3 J001720.5-715056,9271700003,1,4.335549586054,-71.848939606,3.314643,306.6780500296,-45.03048690339,,,2014-10-10T06:13:09,2014-10-10T06:13:09,6.252305,2.671765,,,,,1072.518,352.2988,,,,,0.0,0.0,,,,,20.88892,,,-999.0,,,0.0003632771,,,3.961945,,,4.98518631,2.1302934471,,,,,1.57809,0.6743569,,,,,4.335549586054,-71.848939606,3.314643,306.6780500296,-45.03048690339,,,,,,,,,,,36.0,,,0.9967878,,,0.2470512,,,CLEAN_SAMPLE,xs2717_9271700003_00:17:20.5-71:50:56   ,,,P9271700003PNS003IMAGE_8054.FTZ         ,,,f,f,f,f,f,f,,2E 48                                   ,,J001726.8-715030                        ,X                   ,Einstein  ,40.650061,39.306,FF ,2.5,56940.25913194445,56940.25913194445,f,6.0,10.0,,419055.0,47Tuc,XMMSL3,4.985186309999999e-12,XMMSL3
XMMSL3 J033100.6-282130,9350300003,102,52.752468,-28.358286,3.618182,224.435498,-54.833159,,,2019-01-25T02:07:12,2019-01-25T02:47:57,5.55,2.57,,,,,401.62,313.69,,,,,0.0,0.0,,,,,13.9,,,-999.0,,,0.002383,,,38.55,,,0.44226,0.22113,,,,,0.14,0.07,,,,,52.752468,-28.358286,3.618182,224.435498,-54.833159,,,,,,,,,,,36.0,,,0.9813,,,394.8152,,,CLEAN_SAMPLE,xs3503_9350300003_03:31:00.6-28:21:30   ,,,P9350300003PNS003IMAGE_8000.ds          ,,,f,f,f,f,f,f,,4XMM J033100.0-282128                   ,,,X                   ,4XMM      ,5.832321732829556,,FF ,1.9,58508.08833333333,58508.116631944446,f,6.0,8.0,,,ECDFS,XMMSL3,4.4226e-13,XMMSL3
XMMSL3 J033205.8-281503,9370100004,75,53.024239,-28.2508,3.673292,224.307327,-54.581517,,,2020-02-24T05:45:28,2020-02-24T07:45:50,8.67,3.45,9.43,3.5,,,181.84,264.31,181.83,264.25,,,0.0,0.0,0.0,0.0,,,9.69,13.26,,-1.12,-1.26,,0.022196,0.013865,,39.57,35.97,,0.6949799999999999,0.2843099999999999,2.37744,0.9144,,,0.22,0.09,0.26,0.1,,,53.02423,-28.250731,3.793846,224.307207,-54.581515,53.024239,-28.2508,3.673292,224.307327,-54.581517,,,,,,36.0,36.0,,0.9813,0.9813,,410000.0,410000.0,,,xs3701_9370100004_03:32:05.8-28:15:03   ,xs3701_9370100004_03:32:05.8-28:15:03   ,,P9370100004PNS003IMAGE_8001.ds          ,P9370100004PNS003IMAGE_7001.ds          ,,f,f,t,f,f,f,,,,,,,,,FF ,14.0,58903.239907407406,58903.32349537037,f,20.0,28.0,,,ECDFS,XMMSL3,6.949799999999999e-13,XMMSL3
XMMSL3 J033205.7-281505,9370100004,73,53.023771,-28.251408,3.713902,224.308267,-54.582009,,,2020-02-24T05:45:28,2020-02-24T07:45:50,6.61,2.95,8.55,3.35,,,170.6,18.6,170.66,18.45,,,0.0,0.0,0.0,0.0,,,11.08,17.59,,-1.18,-1.38,,0.008091,0.003196,,23.84,22.08,,0.8845200000000001,0.37908,3.56616,1.3716,,,0.28,0.12,0.39,0.15,,,53.023854,-28.251238,3.649587,224.307994,-54.581913,53.023771,-28.251408,3.713902,224.308267,-54.582009,,,,,,36.0,36.0,,0.9813,0.9813,,410000.0,410000.0,,,xs3701_9370100004_03:32:05.7-28:15:04   ,xs3701_9370100004_03:32:05.7-28:15:05   ,,P9370100004PNS003IMAGE_8002.ds          ,P9370100004PNS003IMAGE_7002.ds          ,,f,f,t,f,f,f,,SSTSL2 J033206.19-281506.7              ,,, IrS                ,NED       ,6.6,,FF ,14.0,58903.239907407406,58903.32349537037,f,10.0,18.0,,,ECDFS,XMMSL3,8.845200000000001e-13,XMMSL3
XMMSL3 J033205.8-281502,9370100004,74,53.024163,-28.250553,3.863887,224.306888,-54.581549,,,2020-02-24T05:45:28,2020-02-24T07:45:50,,,9.83,3.65,,,,,186.83,371.6,,,,,0.0,0.0,,,,12.74,,,-0.88,,,0.012935,,,34.67,,,,2.5603200000000004,1.00584,,,,,0.28,0.11,,,,,,,,53.024163,-28.250553,3.863887,224.306888,-54.581549,,,,,,,36.0,,,0.9813,,,410000.0,,,,xs3701_9370100004_03:32:05.8-28:15:02   ,,,P9370100004PNS003IMAGE_7000.ds          ,,f,f,t,f,f,f,,,,,,,,,FF ,3.6,58903.239907407406,58903.32349537037,f,20.0,26.0,,,ECDFS,XMMSL3,,XMMSL3
XMMSL3 J024251.4-342849,9385500002,39,40.714267,-34.480306,3.92799,236.936553,-65.0635,,,2020-12-27T00:36:43,2020-12-27T01:48:40,6.42,2.78,,,,,85.17,235.52,,,,,0.0,0.0,,,,,10.35,,,-1.15,,,0.008334,,,2.67,,,7.581599999999999,3.28536,,,,,2.4,1.04,,,,,40.714267,-34.480306,3.92799,236.936553,-65.0635,,,,,,,,,,,36.0,,,0.9813,,,993.6272,,,,xs3855_9385500002_02:42:51.4-34:28:49   ,,,P9385500002PNS003IMAGE_801e.ds          ,,,f,f,f,f,f,f,,,,,,,,,PLW,1.9,59210.02549768519,59210.07546296297,f,9.0,12.0,,,Fornax_dSph,XMMSL3,7.581599999999999e-12,XMMSL3
XMMSL3 J033322.0-283119,9405100003,48,53.341722,-28.522074,4.023158,224.834713,-54.341444,,,2022-01-22T01:58:02,2022-01-22T03:02:01,,,4.24,2.21,,,,,138.61,503.67,,,,,0.0,0.0,,,,8.89,,,-1.09,,,0.00374,,,2.66,,,,14.630400000000002,7.589519999999999,,,,,1.6,0.83,,,,,,,,53.341722,-28.522074,4.023158,224.834713,-54.341444,,,,,,,36.0,,,0.9813,,,410000.0,,,,xs4051_9405100003_03:33:22.0-28:31:19   ,,,P9405100003PNS003IMAGE_702d.ds          ,,f,f,t,f,f,f,,SSTSL2 J033322.23-283128.0              ,,, IrS                ,NED       ,9.1,,FF ,1.9,59601.0819675926,59601.12640046296,f,8.0,11.0,,,ECDFS,XMMSL3,,XMMSL3
XMMSL3 J024145.4-341924,9385500002,37,40.439007,-34.32347,4.031809,236.656755,-65.313286,,,2020-12-27T00:36:43,2020-12-27T01:48:40,7.64,3.18,6.77,3.01,,,283.96,374.14,283.52,374.09,,,0.0,0.0,0.0,0.0,,,11.41,9.61,,-1.19,-1.12,,0.009655,0.007335,,3.22,2.79,,7.48683,3.12741,22.12848,9.875520000000002,,,2.37,0.99,2.42,1.08,,,40.439007,-34.32347,4.031809,236.656755,-65.313286,40.439612,-34.323523,4.437393,236.656685,-65.312784,,,,,,36.0,36.0,,0.9813,0.9813,,993.6272,410000.0,,CLEAN_SAMPLE,xs3855_9385500002_02:41:45.4-34:19:24   ,xs3855_9385500002_02:41:45.5-34:19:25   ,,P9385500002PNS003IMAGE_801e.ds          ,P9385500002PNS003IMAGE_701e.ds          ,,f,f,f,f,f,f,,,,,,,,,PLW,1.9,59210.02549768519,59210.07546296297,f,11.0,14.0,,,Fornax_dSph,XMMSL3,7.48683e-12,XMMSL3
