recno,C,Seq,RAJ2000,DEJ2000,logPB,WAV,errPos,Angle,FB,e_FB,E_FB,SB,e_SB,E_SB,HB,e_HB,E_HB,Ph,CPCat,CPoff,CPNote,RAWdeg,DEWdeg,RmagW,RAGSdeg,DEGSdeg,zmagGS,RAGdeg,DEGdeg,zmagG,RACdeg,DECdeg,F125Wmag,RATdeg,DETdeg,KsmagT,RASdeg,DESdeg,3_6mag,RAVdeg,DEVdeg,VLAmag,zspec,q_zspec,r_zspec,zL10,zR11,zH14,zS14,zS15,zS16,zF,r_zF,e_zF,E_zF,FExp,SExp,HExp,BR,e_BR,E_BR,Gamma,e_Gamma,E_Gamma,FFB,FSB,FHB,LX,NH,LXc,OType,f_X11ID,X11ID,f_X16ID,X16ID,R13ID,CCat,zCat
566,M,566,53.125808,-28.005221,-17.0,-8,0.99,11.96,120.5,17.6,18.8,79.5,11.9,13.1,41.0,13.2,14.4,E,TENIS,1.16,,53.125808,-28.005501,22.19,,,,,,,,,,53.125813,-28.005543,20.49,53.125803,-28.005494,20.66,,,,2.31,Secure,16,2.28,2.3,2.32,,,,2.31,zSpec,,,296000.0,276000.0,325000.0,0.437,0.141,0.192,1.67,0.37,0.39,4.04e-15,1.67e-15,2.37e-15,inf,1.14e+22,inf,AGN,,424,,509,11,1,3
1033,S,25,53.112604,-28.000181,-1.2,-5,1.78,11.65,16.7,12.5,13.7,17.4,-1.0,-1.0,25.5,-1.0,-1.0,E,TENIS,1.06,,53.112251,-28.000203,24.2,,,,,,,,,,53.112274,-28.000223,22.48,53.112263,-28.000174,22.62,,,,,,,,1.21,1.34,,,,1.343,H14,0.01,0.02,329000.0,314000.0,354000.0,-1.0,-1.0,-1.0,1.4,-1.0,-1.0,5.47e-16,-3.05e-16,-1.43e-15,inf,1.81e+22,inf,AGN,,,,,,1,1
474,M,474,53.108951,-27.980431,-10.0,-7,0.75,10.47,148.1,26.3,27.5,72.7,15.8,17.0,75.5,21.2,22.4,,TENIS,1.79,,53.109354,-27.980814,17.14,,,,,,,,,,53.109306,-27.980816,15.92,53.109293,-27.980764,17.49,,,,,,,0.13,0.13,0.13,,,,0.126,H14,0.01,0.01,1460000.0,1340000.0,1620000.0,0.858,0.268,0.397,1.1,0.39,0.39,1.3e-15,3.26e-16,9.75e-16,inf,6.45e+21,inf,Galaxy,,363,,,,1,2
262,M,262,53.061306,-27.985625,-9.7,-8,0.91,11.18,110.5,20.5,21.7,50.7,12.0,13.1,59.9,16.8,18.0,E,TENIS,0.63,,,,,,,,,,,,,,53.061161,-27.985743,23.5,53.061213,-27.985624,22.58,,,,,,,3.88,,,,,,3.877,L10,0.31,0.32,406000.0,363000.0,464000.0,0.923,0.302,0.434,1.05,0.41,0.42,3.13e-15,7.47e-16,2.38e-15,inf,3.02e+23,inf,AGN,,,,439,22,1,1
424,M,424,53.098885,-27.979305,-14.6,-8,0.68,10.44,197.4,28.9,30.1,49.9,15.6,16.8,147.5,24.3,25.4,,TENIS,0.81,,53.099128,-27.979317,18.78,,,,,,,,,,53.099136,-27.979349,17.16,53.099123,-27.979294,17.81,53.099155,-27.979311,17.88,0.122,Secure,11,,0.16,0.16,,,,0.122,zSpec,,,1430000.0,1320000.0,1580000.0,2.467,0.802,1.072,0.04,0.36,0.4,2.6e-15,2.06e-16,2.4e-15,inf,2.9e+22,inf,AGN,,324,,,27,1,1
398,M,398,53.093895,-27.968066,,-8,0.68,9.8,149.6,28.8,30.0,124.5,18.4,19.5,56.2,-1.0,-1.0,,TENIS,0.63,,,,,,,,,,,,,,53.09404,-27.968184,11.94,,,,,,,0.0,Secure,3,0.0,,0.33,,,,0.0,zSpec,,,2170000.0,2050000.0,2340000.0,0.218,-1.0,-1.0,2.51,-1.0,-1.0,6.72e-16,4.75e-16,-4.06e-16,,-1.0,,Star,,307,,472,,0,1
949,M,949,53.257069,-27.97177,,-8,0.43,12.39,1967.3,53.1,54.2,1252.1,39.5,40.7,716.2,35.8,37.0,E,GEMS,0.24,,53.257107,-27.971855,20.5,,,,53.257053,-27.971835,20.22,,,,53.257057,-27.971853,19.7,53.257053,-27.971834,19.26,,,,1.843,Secure,16,1.38,1.84,,,,,1.843,zSpec,,,208000.0,172000.0,254000.0,0.387,0.023,0.023,1.7,0.06,0.06,4.51e-14,1.9e-14,2.6e-14,inf,5.62e+21,inf,AGN,,696,,703,33,2,3
941,M,941,53.252455,-27.962423,,-8,0.64,11.79,443.0,29.3,30.4,236.2,19.7,20.9,207.0,21.8,23.0,E,GEMS,0.65,,53.25254,-27.96265,23.54,,,,53.252517,-27.962595,22.54,,,,53.252529,-27.962618,20.25,53.252523,-27.962604,19.79,,,,0.512,Secure,12,0.52,0.53,1.35,,,,0.512,zSpec,,,318000.0,274000.0,374000.0,0.642,0.08,0.095,1.33,0.14,0.14,1.05e-14,3.27e-15,7.26e-15,inf,7.45e+21,inf,AGN,,690,,691,1021,1,3
996,M,996,53.302327,-27.930989,,-8,0.72,12.33,381.7,27.6,28.8,271.2,19.8,20.9,110.7,19.7,20.9,E,GEMS,0.74,,53.302603,-27.930989,20.25,,,,53.302559,-27.930969,19.85,,,,53.302563,-27.930975,19.41,53.302563,-27.930964,19.15,53.302613,-27.930922,19.0,2.561,Secure,12,,0.1,2.54,,,,2.561,zSpec,,,46800.0,37200.0,59100.0,0.257,0.045,0.055,1.94,0.2,0.2,1.53e-14,7.61e-15,7.66e-15,inf,0.0,inf,AGN,,,,801,62,1,1
721,M,721,53.161011,-27.996025,-4.3,-5,1.16,11.63,63.4,17.5,18.7,32.3,-1.0,-1.0,45.5,14.5,15.7,E,TENIS,0.53,,,,,,,,,,,,,,53.161167,-27.995975,23.76,,,,,,,,,,,2.14,1.84,,,,1.836,H14,0.79,0.13,525000.0,469000.0,602000.0,1.924,-1.0,-1.0,0.24,-1.0,-1.0,2.03e-15,-3.65e-16,1.87e-15,inf,2.88e+23,inf,AGN,,,,,,0,1
